naslov,text
Votka sa utehom,"Sluzite li ovde 
duplu votku s utehom
kad nestane mi para 
platicu vam osmehom
jer kosta me ljubav ta
ni tuga nije besplatna

Ref:
Pola sam pijana
a tek je pola dva
tu oko pola tri 
naglas cu plakati

Pola sam pijana 
on je u srcu mom
koliko kostaju
suze s ledom

Na sanku pored mene 
on se nezno mazi s njom
sluzite li ovde viski 
s duplim uzdahom
jer kosta me ljubav ta
ni tuga nije besplatna

Ref."
Vreteno,"I da sam te pratila
ko sever severnjacu
ti bi vetar terao
na svoju vetrenjacu

Kome milujes sjajnu kovrdzu
sjajnu raspustenicu
zbog koje bi lud promenio cud,
veru i krstenicu

Ref:
Koja nocas na tvoj racun pije
kusur ne vraca
Upresce ti srce u vreteno
vretena ti dva.

I da sam te cuvala
kao oka zenicu
ti bi vodu terao
na svoju vodenicu"
Zaboravi,"Zaboravi, zaboravi
i odlazi

Samo jednom zora zarudi
samo jednom telo poludi
samo jednom i nikad vise
prijaju kise

Samo jednom tisina svira
samo jednom srce bira
samo jednom i nikad vise
suze ne brises

Ref. 2x
Zaboravi, zaboravi
da sam te ikad volela ludo
zaboravi i nestani
samo se jednom desi cudo

Samo su jednom cvale ciklame
nisi ni jednu ubrao za me
samo si jednom rekao da
kad sam odlazila
(2x)

Ref. 4x"
Zabranicu srcu da te voli,"Moje su oci plakale
moje su usne drhtale
a tebe nije bilo
a tebe nije bilo
(2x)

Ref. 2x
Zabranicu srcu da te voli
zabranicu dusi da ti prasta
i u susret novoj zori
poletecu drugome ko lasta

Moje su grudi ceznule
moje su ruze venule
a tebe nije bilo
a tebe nije bilo
(2x)

Ref. 2x

Moje su suze padale
moje su ruke trazile
a tebe nije bilo
a tebe nije bilo
(2x)

Ref. 2x"
Zabranjeni grad,"Ja sam tu
da pruzim sto ne mogu
obecam sto ne ide
slazem kad ne treba
voli me

Ja sam tu
da se menjam iz korena
svaka na gore je promena
voli me

Za mene ti je ljubav
zabranjeni grad
a mnogo sam ih, brate
ja srusila do sad
voli me, voli

Ref. 2x
A ti mi na to kazes idi pa se leci
i sve je jasno samo istina se krije
bolelo je kao da si prvi
sad mi nije, nista mi nije

Voli me, voli
voli me, voli me

Ja sam tu
u oci da ne gledam
da najbolje izgledam
kad se najgore osecam
voli me

Ja sam tu
da ti kazem sto ne mislim
da se kunem kad izmislim
voli me

Za mene ti je ljubav
zabranjeni grad
a mnogo sam ih, brate
ja srusila do sad
voli me, voli

Ref. 2x

Voli me, voli
voli me, voli me

Sto mozes danas ostavi za sutra
u zdravom telu glava je luda
i sve je dobro sto se lose svrsi
kad samo sebe nosis na dusi
o, voli me, voli

Ref. 2x

Voli me, voli
voli me, voli me

Voli me, voli
voli me, voli me"
Zabranjeno pusenje,"Rekao je samo nosi se
ma briga me i ubi se
na glavu si se meni popela
o Boze, tesko sam to podnela

Htela sam prvo da se obesim
da secem vene da se otrujem
umesto toga sedam na voz
promenit cu zivot, skroz na skroz

Ref.
Od nervoze strasno mi se pusi
cigareta bila bi resenje
palim vatru, a kad tamo pise
zabranjeno pusenje

Nervoza mi izlazi na usi
cigareta lek je za smirenje
palim vatru, ko ce da izdrzi
zabranjeno pusenje

Nude mi beli luk i rakiju
na noge staju i dobacuju
iz kog sam filma Boze ispala
sve bih na jedno mesto poslala

Kondukter mrtav, pijan ulazi 
i pravo meni prilazi
iz dzepa uzima mi pare sve
kupujem kartu ne znam za gde

Ref.

Rekao je samo svega sam sit
prekinuo zadnju nit
hocu da zivim dalje po svom
pogodio me ko sa neba grom

Iz glave reci mi ne izlaze
dok mesta kao ljudi prolaze
jos malo pa ce me da napiju
u tom vozu za nedodjiju

Ref."
Zadrzacu pravo,"Zadrzacu pravo svoje
da im ne dam da me bude
da ni za sta vise nisam
za ulicu ni za ljude
da me niko ne vidi
i da nikog ne vidim

Ref.
Da ne pitam nikad ko je
zadrzacu pravo svoje
ne pitam jer znam da nisi ti
da im ne dam da me guse
dok se s tobom tajno vidjam
u metrou svoje duse

Zadrzacu pravo svoje
da se suncam u svom mraku
da pocrnim u svom srcu
kao zlato na junaku
da me niko ne vidi
i da nikog ne vidim

Ref.

Zadrzacu pravo
da ti prevedem ime
na sve svetske jezike
i da na svakom od njih
znaci ljubav

Ref."
Zagrljaj,"I ti, i ja, umiremo
da se na tren bar dodirnemo
k'o put u raj ljubav je ta
i vecna je, i nemoguca

I zivece dva neduzna
dva pretuzna, hej

Ref.
Zaradice na mom bolu
nocni sviraci
tek kad te vidim 
sunce ce izaci
o, samoco sviraj kraj

I bicemo mozda stari
za neke stvari
pred nama samo prazni kalendari
al' nikada stari za zagrljaj

I svaki moj korak je greh
bez tebe dan, bez tebe smeh
u nista sve pretvorili smo
da patimo zasluzili smo

Ref.

Zivot je najduzi most
koji moramo preci
bez daha ostanes
jer taj san o sreci
unisti te, pre nego ostvari se

Ref."
Zamalo,"Oduvek sam bila spremna za sve
i na najveci bol samo na tebe ne
tebe poslale su neke sile zle
da mi stanes na put i da unistis me

Ref.
Zamalo da poginem
zamalo da otkinem
a srce bas zapelo
da slomis ga zamalo
zbog ljubavi nimalo
zbog neznosti premalo
zamalo da otkinem i poginem

Imala sam dobar zivot, zar ne
prijatelje i dom nekog ko voli me
tebe poslale su neke sile zle
da mi stanes na put i da izgubim sve

Ref.

Ref."
Zarila sam zar,"U ovu casu vise niko ne doli ni kap
prepuna je tvojih lazi i prevara
u ovo srce vise niko ne donese ljubav
nemam ja vise snage ni nerava

Ref. 2x
Zarila sam zar 
i topila led
ne mogu vise 
na tebe je red

Niz ovo lice padace suze za dugo jos
navikle su na samocu i lutanja
na ove usne ne stavi osmeh ni dobar ni los 
umorne su od tisine i cutanja

Ref. 2x"
Zelim te u mladosti,"Osvajas me ti polako,
Nemirno je srce moje,
Pa se pita zbog mladosti,
Sta je moje, sta je tvoje.

Ref.
Hej, zelim te u mladosti,
Daj, daj mi malo radosti,
Hocu da se opustim,
Prestani, prestani s tim.

Zelela sam da uzivam,
Pored tebe bez problema,
Al' se bojim u ljubavi
Da bez toga srece nema.

Ref.

Ostavljas me da razmisljam,
Sta ce biti medju nama,
Mislis da sam ravnodusna,
Biti s' tobom ili sama.

Ref."
"Zlato, srecan put","Zlato, srecan put ka zagrljaju mom
pred tvoje noge bacam samu sebe
lezim ovde sama, umorna od sna
a srce steze, preskace zbog tebe

Ref.
Nema nista novo otkad nisi tu
nema nikog novog u mom narucju

Zlato, srecan put ka zagrljaju mom
peva zemlja po kojoj ides
zaustavicu sve oluje, vetrove
samo da mi dodjes, srecno stignes

Ref."
Znam,"Dah na staklu kao magla
vrhom prsta pesma draga
i na kraju slova
tvoga imena

Srce kuca, tika taka 
ulica je puna mraka
ja bih nocas
samo tebe ljubila

Veruj suze necu kriti
to sto bude to ce biti
nema nade
kad se ladje potope

Jer za mene samo ti si
tebi plove moje misli
kad na satu kazaljke
se poklope

Ref.
Znam nema nade
znam idu zime
samo nocas da sam tvoja
pa zauvek ostavi me

Znam sve ce proci
znam nikad vise
jer te tvoje crne oci
nose meni vecne kise"
