naslov,text
Fatalna ljubav,"Ja te volim cak i kad si u Parizu
u Nju Jork da odes, bio bi mi blizu
ja te volim cak i kad si u Londonu
jer i u Londonu u mom si fazonu

Ref.
To, to, to je ta ljubav fatalna
zbog nje vise nisam ni ja normalna
to, to, to je ta kulminacija
sve su druge njena imitacija

Ja te volim cak i kada si u Kini
jer na moje srce bacio si cini
kada si na brodu, vozu, avionu
ja provodim dane te na telefonu

Ref.

Ja te volim cak i kada mi to skodi
jer to osecanje mome srcu godi
cak i kad se s drugom provodis po svetu
ja te volim makar i na svoju stetu

Ref."
Gore od ljubavi,"Pre nego za milost zamolim svuci me
po svakoj suzi tuci me
ko dete kazni me
ko zenu spasi me

Tako mi malo treba da te prezirem
jos mnogo manje da ti se ne opirem
sav bol u meni ostavi
odes li, to mi je gore od ljubavi

Ref.
Hiljadu razloga je
dovoljno dobrih da bih mrzela te
u ovim nocima bez duse 
koja place za nama

Hiljadu razloga je
ja trazim jedan da bih volela te
pa makar bila andjeo
sama na stubu srama

Ref.

Tako mi malo treba da te prezirem
jos mnogo manje da ti se ne opirem
sav bol u meni ostavi
odes li, to mi je gore od ljubavi"
Greska,"Nisam kao druga deca 
ja sam pala sa meseca
ceo svet za mene brine
bake, ujne, tetke, strine
svi zele da budem dama
a ja hodam na rukama

Ref.
Mama mi se tuzno smeska
tata kaze to je greska
trebala sam musko biti
da se otac sinom dici

Gledano sa njine tacke
ja sve radim naopacke
hocu disko, necu skolu
pijem samo kokakolu
volim klompe, mrzim stikle
ne silazim sa bicikle

Ref.

Smetaju mi svi po kuci 
postali su nemoguci
vezbam dzudo i karate
i zato me ne dirajte
svi jos misle da sam mala
a ja sam se zacopala

Mama mi se tuzno smeska
tata kaze to je greska
sta im drugo preostaje
kad na meni svet ostaje"
Hajde,"24 sata i jos koji dan
odavno vise ostavljeno
ja ne izgledam
rastali smo se ko ljudi
svako je na svom
onda sam jednog jutra
pocela da pricam sa sobom
sama sa sobom

Ref.
Hajde, gurni me u gomilu
da sakrijem se nocas tu
da ne vidi se da sam pukla
hajde, ispod oka vidim sve
tvoje ruke oko nje
i sad bih se u glavu tukla

24 sata i jos koji dan
kako nisam s tobom
i bas se dobro osecam
sve je doslo na normalu
svako je na svom
onda sam jednog jutra
pocela da pricam sa sobom
sama sa sobom

Ref.

Glasovi u glavi govore mi
stavi, stavi cipele na sto
glasovi u glavi, koji li je pravi
kad nijedan nije moj 

Ja ih ne cujem
cujem samo, cujem samo tvoj

Ref."
Hej vrsnjaci,"Hocu da se druzimo do zore
svaka mladost ima vreme svoje
nek nas pesma opusti, nasmeje
ludi provod neka nas zagreje
(2x)

Ref. 2x
Hej vrsnjaci, hej vrsnjaci
nek se pesma cuje
uz godine nase 
ide da se luduje

Hocu da se volimo sto vise
jedno srce za drugo da dise
nek se igra, neka se ne stane
ne moramo nocas na spavanje
(2x)

Ref. 2x

Hocu da se ovo vece pamti
nasa mladost mora da se shvati
nek nas sreca ko ljubav opije
mogu pesme i nesto starije
(2x)

Ref. 2x"
"Hej, ljubavi, ljubavi","Neznosti nema vise
jedno drugom smo strani
dolaze dani tuge 
bicemo opet sami

Ref. 2x
Hej, ljubavi, ljubavi
sto si tako zla
hej, ljubavi, ljubavi 
zar nema prastanja

Ljubav je nasa prosla
vatra se srece gasi
ne moze nista vise
ljubav nasu da spasi

Ref. 2x

Poci ces ti u zoru
poci ces, mora tako
zivecu i bez tebe
nece mi biti lako

Ref. 2x"
Hvata me,"Tu gde ljubav udari
pukne dusa napola
moja je cela ostala

A ja sam tamo ovamo
samo nikad tamo gde
gde se oci prevare

A ti itekako znas
iz ove koze da me isteras
pa boli sve ko pred nevreme

Ref.
Hvata me, hvata kao mecava
ljubav hvata me
celo mi telo obuzme
a ti ni za ruku da uhvatis me

Hvata me, oko srca toplo je
u ponoc hvata me
kao da igram bez muzike
sama ko uvek, po starom je sve

Ja kad pricam, ne pricam
i kada placem, ne placem
i kada volim, ne volim

Jer ja sam tamo ovamo
samo nikad tamo gde
gde se srce otvori

Ref.

Dodji mi u ponoc
dodji mi u podne
bilo kada, bilo kada
dodji mi kad hoces
dodji mi kad neces
a najbolje dodji sada

Ref."
I bogati placu,"Nikad mi nisi bio dovoljan
htela sam zivot, lak i siguran
da svojom srecom, svemu prkosim
e da bar jednom srce i to okusi

Haljina duga, svilen beli sal
pepeljuga bi da napusti svoj bal
kamen na ruci suze ne slusa
voli te tvoja prostakusa

Ref.
I bogati placu zasto ne
teku im suze biserne
u bolu su svi
rodjeni jednaki

I bogati placu zasto ne
ali ih niko ne cuje
u zivotu je sve
mac sa ostrice dve

Prema nebu sam poletela
do samih zvezda gde je svemu kraj
da padnem ja bih pala ponovo
pravo u tvoj zagrljaj

Ref."
Idealno losa,"Krevet nenamesten je, ma, briga me za to
ja necu spavati u njemu sigurno
u prvi ulazim klub ko u saunu
a tamo sedis ti sav u daunu
ma, idealno lose

Ref.
Idealno, idealno lose si ti
za mene idealno da pridjem ti
ti si idealno, idealno lep, tuzan, sam
zbog takvih ko sto si ti
ovde sam dosla, ja idealno losa

Biram samo laksi nacin
kraci put, neki lak plen
nekoga ko dace mi se nocas lako
neko ko je vec ostavljen
ma, idealno lose

Ref.

U mojoj sobi samo tama, samo krs i lom
tako svuda je u gradu mom
ako ne znas s kim bi, gde bi, zasto
onda za tebe je to
ma, idealno lose

Ref. 2x"
Idi dok si mlad,"Idi dok si mlad
dok imas vremena za more promena
za let i za pad, za sutra ili sad
ma idi dok si mlad

Nocas kada gosti odu
odlazi pustam te
dajem ti blagoslov i slobodu
jer pukli smo zar ne

Ref.
Idi gde hoces, ljubi sve zivo
ali ipak drzi bar neki nivo
ne igraj zmurke ma nismo deca
ja vise nemam
ni jednog keca u rukavu

Tako ti je to
od klinca napravis princa za kajanje
iz voza ispadnes
ostanes cak i bez mesta za stajanje

Poljubimo se ko odrasli
jer jasno nam je sve
pokidaj lance dok nismo srasli
jer pukli smo zar ne

Ref. 2x"
